source_ward_id,destination_ward_id,transfer_count
W001,W006,4
W001,W042,6
W001,W093,9
W001,W111,5
W002,W050,3
W002,W071,3
W002,W095,8
W002,W101,5
W003,W017,6
W003,W018,3
W003,W029,4
W003,W033,2
W003,W047,5
W003,W054,2
W003,W066,4
W003,W071,9
W004,W030,1
W004,W052,1
W004,W060,2
W004,W114,1
W004,W115,5
W005,W017,8
W005,W031,4
W005,W034,3
W005,W035,4
W005,W066,5
W006,W037,6
W006,W038,7
W006,W056,5
W007,W016,8
W007,W039,8
W007,W051,2
W007,W065,8
W007,W073,3
W007,W078,7
W008,W030,7
W008,W031,7
W008,W042,1
W008,W114,7
W009,W022,6
W009,W062,1
W009,W084,9
W010,W102,5
W010,W112,2
W011,W020,7
W011,W034,5
W011,W091,7
W011,W115,3
W012,W024,4
W013,W063,3
W013,W109,7
W014,W018,5
W014,W064,8
W014,W077,6
W014,W096,5
W015,W071,9
W016,W012,6
W016,W030,4
W016,W105,4
W016,W114,2
W017,W099,7
W018,W051,4
W018,W072,3
W018,W076,3
W018,W078,3
W018,W112,1
W019,W081,3
W019,W090,1
W019,W096,4
W019,W103,9
W020,W002,6
W020,W009,6
W020,W060,5
W020,W068,1
W021,W060,8
W021,W091,7
W021,W108,6
W022,W035,7
W022,W045,3
W022,W071,4
W022,W074,4
W023,W009,8
W023,W048,6
W023,W054,3
W023,W080,5
W024,W032,2
W024,W073,9
W024,W119,3
W025,W057,3
W025,W081,7
W025,W089,2
W025,W098,4
W025,W106,5
W025,W120,7
W026,W040,3
W027,W006,2
W027,W024,9
W027,W088,2
W028,W001,7
W028,W022,7
W028,W027,3
W028,W031,7
W028,W057,5
W028,W089,7
W028,W120,2
W029,W057,6
W029,W065,8
W029,W099,3
W029,W113,5
W030,W001,4
W030,W067,4
W030,W118,5
W031,W062,5
W031,W066,5
W031,W073,6
W031,W091,8
W031,W095,2
W032,W017,3
W032,W053,7
W032,W080,7
W032,W081,4
W032,W102,6
W033,W071,9
W033,W072,3
W033,W082,7
W034,W012,4
W034,W050,5
W035,W004,9
W035,W008,4
W035,W015,9
W035,W030,1
W035,W042,4
W035,W051,5
W035,W098,9
W036,W011,3
W036,W044,9
W036,W060,6
W036,W070,4
W036,W099,2
W036,W107,2
W037,W015,6
W037,W035,8
W037,W070,3
W038,W073,5
W038,W078,9
W038,W087,5
W039,W027,1
W039,W031,8
W039,W065,3
W039,W096,9
W039,W107,3
W040,W010,1
W040,W037,6
W040,W082,1
W041,W006,6
W041,W007,3
W041,W015,3
W041,W020,7
W041,W078,9
W041,W102,9
W041,W103,4
W042,W002,5
W042,W037,2
W042,W063,8
W042,W108,9
W043,W077,6
W043,W102,9
W044,W011,5
W044,W020,8
W044,W028,1
W044,W043,4
W044,W056,8
W044,W076,6
W044,W104,8
W044,W112,6
W045,W027,2
W045,W036,4
W045,W102,9
W046,W088,6
W046,W094,2
W047,W002,4
W047,W066,1
W047,W102,5
W047,W114,1
W048,W045,8
W048,W051,6
W049,W009,3
W049,W020,6
W049,W041,1
W050,W016,5
W050,W086,1
W051,W049,2
W051,W062,7
W051,W063,9
W051,W119,6
W052,W095,2
W053,W007,8
W053,W008,4
W053,W061,8
W053,W084,3
W053,W093,3
W053,W102,9
W053,W108,9
W054,W058,4
W054,W076,1
W054,W080,8
W054,W105,6
W055,W056,5
W056,W004,6
W056,W054,9
W056,W117,7
W057,W038,8
W057,W092,5
W058,W003,3
W058,W007,6
W058,W014,5
W058,W028,9
W058,W033,6
W058,W104,4
W058,W105,8
W059,W002,6
W059,W031,4
W059,W097,1
W059,W099,5
W059,W106,3
W059,W109,4
W060,W094,2
W060,W095,1
W060,W096,9
W061,W009,3
W061,W064,7
W062,W029,6
W062,W107,3
W063,W113,6
W064,W005,8
W064,W039,1
W064,W048,9
W065,W064,6
W065,W082,5
W066,W029,4
W066,W067,9
W066,W070,5
W067,W028,8
W067,W053,6
W067,W054,9
W067,W092,8
W067,W100,7
W067,W102,3
W067,W109,4
W068,W012,9
W068,W015,6
W069,W003,5
W069,W004,2
W069,W055,5
W069,W078,5
W070,W069,1
W070,W116,2
W071,W009,6
W071,W078,5
W071,W099,6
W071,W112,8
W071,W117,3
W072,W091,8
W073,W002,9
W073,W079,4
W074,W031,9
W074,W065,9
W074,W072,9
W075,W001,8
W075,W037,6
W075,W039,6
W075,W069,2
W075,W087,6
W075,W116,8
W077,W007,5
W077,W030,4
W077,W041,1
W077,W048,4
W077,W066,2
W077,W103,2
W078,W002,2
W078,W054,9
W078,W114,4
W079,W010,5
W079,W098,1
W079,W099,5
W080,W033,7
W080,W036,5
W081,W003,3
W081,W084,1
W081,W117,4
W081,W118,9
W082,W002,1
W082,W042,5
W082,W046,8
W082,W066,2
W082,W080,8
W083,W023,8
W083,W108,5
W083,W113,1
W084,W024,2
W084,W034,1
W085,W007,5
W085,W018,7
W085,W047,8
W085,W060,7
W085,W061,2
W085,W083,6
W085,W112,8
W086,W012,1
W086,W042,2
W087,W062,9
W087,W090,5
W088,W071,2
W088,W094,9
W089,W057,9
W089,W087,1
W091,W013,1
W091,W015,5
W091,W016,2
W091,W030,7
W091,W062,1
W091,W073,4
W092,W010,3
W092,W017,5
W092,W021,4
W092,W102,6
W093,W006,7
W093,W024,8
W094,W034,1
W094,W071,7
W095,W008,3
W095,W027,7
W095,W052,5
W095,W066,2
W095,W084,6
W095,W094,5
W095,W112,6
W096,W038,1
W096,W090,1
W096,W092,5
W096,W102,5
W097,W032,7
W097,W042,4
W098,W033,3
W098,W089,8
W099,W004,5
W099,W010,3
W099,W049,9
W099,W077,8
W099,W112,2
W100,W035,1
W100,W076,3
W100,W084,9
W100,W094,5
W100,W103,4
W101,W032,5
W101,W041,8
W101,W047,6
W101,W054,6
W101,W080,1
W101,W106,8
W102,W019,5
W102,W064,2
W102,W110,3
W102,W120,3
W103,W013,4
W103,W074,3
W103,W079,4
W103,W092,2
W103,W120,7
W104,W002,9
W104,W012,1
W104,W018,9
W104,W023,8
W104,W055,3
W105,W008,5
W105,W058,8
W105,W073,3
W105,W098,7
W105,W116,9
W106,W032,7
W107,W067,7
W108,W004,8
W108,W006,3
W108,W117,2
W109,W029,9
W109,W113,5
W110,W022,1
