ward_id,occupancy_ratio,device_use_share,active_cluster_at_start,new_cluster_later
W001,0.758,0.187,1,
W002,0.886,0.338,0,1.0
W003,0.533,0.197,0,0.0
W004,0.777,0.364,0,1.0
W005,0.775,0.446,0,1.0
W006,0.876,0.274,0,1.0
W007,0.644,0.289,1,
W008,0.805,0.382,0,1.0
W009,0.723,0.31,0,1.0
W010,0.529,0.187,0,0.0
W011,0.949,0.411,0,1.0
W012,0.861,0.21,0,1.0
W013,0.65,0.469,0,0.0
W014,0.634,0.14,0,1.0
W015,0.518,0.184,0,0.0
W016,0.665,0.467,0,1.0
W017,0.49,0.231,0,0.0
W018,0.688,0.367,0,0.0
W019,0.771,0.097,0,0.0
W020,0.741,0.356,1,
W021,0.622,0.16,0,0.0
W022,0.545,0.401,0,0.0
W023,0.651,0.144,0,0.0
W024,0.615,0.257,0,1.0
W025,0.676,0.347,0,0.0
W026,0.712,0.312,0,0.0
W027,0.811,0.109,1,
W028,0.893,0.403,0,0.0
W029,0.606,0.442,0,0.0
W030,0.75,0.109,0,1.0
W031,0.759,0.195,1,
W032,0.748,0.416,0,1.0
W033,0.508,0.474,0,0.0
W034,0.702,0.089,0,1.0
W035,0.553,0.151,0,0.0
W036,0.953,0.117,0,0.0
W037,0.494,0.166,0,0.0
W038,0.597,0.43,0,0.0
W039,0.832,0.439,0,1.0
W040,0.659,0.359,0,0.0
W041,0.738,0.389,1,
W042,0.54,0.353,1,
W043,0.908,0.287,1,
W044,0.58,0.124,0,0.0
W045,0.768,0.376,0,0.0
W046,0.798,0.447,0,0.0
W047,0.633,0.235,1,
W048,0.893,0.246,0,0.0
W049,0.57,0.418,0,0.0
W050,0.853,0.362,0,0.0
W051,0.836,0.437,0,1.0
W052,0.864,0.174,0,0.0
W053,0.774,0.105,0,0.0
W054,0.946,0.321,0,1.0
W055,0.826,0.316,0,1.0
W056,0.659,0.22,0,0.0
W057,0.901,0.223,0,1.0
W058,0.571,0.272,0,0.0
W059,0.776,0.092,0,0.0
W060,0.561,0.345,0,1.0
W061,0.589,0.112,0,0.0
W062,0.617,0.47,0,1.0
W063,0.634,0.284,0,1.0
W064,0.96,0.425,0,1.0
W065,0.931,0.217,0,1.0
W066,0.916,0.19,1,
W067,0.831,0.23,0,1.0
W068,0.596,0.072,1,
W069,0.597,0.212,0,0.0
W070,0.702,0.238,0,1.0
W071,0.576,0.137,0,1.0
W072,0.909,0.258,0,1.0
W073,0.914,0.158,0,1.0
W074,0.786,0.332,0,0.0
W075,0.75,0.378,0,0.0
W076,0.556,0.154,0,0.0
W077,0.724,0.103,0,1.0
W078,0.612,0.275,0,1.0
W079,0.893,0.17,0,0.0
W080,0.601,0.16,0,0.0
W081,0.933,0.373,1,
W082,0.506,0.421,0,0.0
W083,0.935,0.124,0,0.0
W084,0.845,0.183,0,0.0
W085,0.656,0.321,0,0.0
W086,0.754,0.475,0,0.0
W087,0.95,0.119,0,0.0
W088,0.774,0.097,1,
W089,0.625,0.429,1,
W090,0.684,0.308,0,0.0
W091,0.942,0.242,0,1.0
W092,0.738,0.171,0,0.0
W093,0.881,0.229,1,
W094,0.839,0.177,0,1.0
W095,0.64,0.219,0,0.0
W096,0.732,0.448,0,1.0
W097,0.677,0.094,0,0.0
W098,0.713,0.176,0,0.0
W099,0.717,0.329,0,1.0
W100,0.767,0.168,0,0.0
W101,0.627,0.105,0,0.0
W102,0.711,0.187,0,1.0
W103,0.509,0.332,0,0.0
W104,0.893,0.316,0,1.0
W105,0.504,0.107,0,0.0
W106,0.864,0.468,1,
W107,0.889,0.12,0,0.0
W108,0.688,0.189,0,1.0
W109,0.64,0.106,0,0.0
W110,0.833,0.224,0,1.0
W111,0.891,0.152,0,0.0
W112,0.707,0.12,0,0.0
W113,0.654,0.127,0,0.0
W114,0.578,0.118,0,0.0
W115,0.897,0.17,0,0.0
W116,0.482,0.373,1,
W117,0.927,0.264,1,
W118,0.58,0.472,0,0.0
W119,0.688,0.187,0,0.0
W120,0.565,0.354,0,0.0
