substation_a,substation_b
S001,S002
S001,S013
S002,S003
S002,S014
S003,S004
S003,S015
S003,S016
S004,S005
S004,S016
S004,S017
S005,S006
S005,S017
S006,S007
S006,S018
S006,S019
S007,S008
S007,S019
S008,S009
S008,S019
S008,S020
S009,S010
S009,S020
S009,S021
S010,S011
S010,S021
S010,S022
S010,S023
S011,S012
S011,S023
S011,S024
S012,S024
S013,S014
S013,S025
S013,S026
S014,S015
S014,S026
S015,S016
S015,S026
S015,S027
S015,S028
S016,S017
S016,S028
S017,S018
S017,S029
S017,S030
S018,S019
S018,S030
S018,S031
S019,S020
S019,S031
S020,S021
S020,S032
S020,S033
S021,S022
S021,S033
S022,S023
S022,S034
S022,S035
S023,S024
S023,S035
S024,S035
S024,S036
S025,S026
S025,S037
S025,S038
S026,S027
S026,S038
S026,S039
S027,S028
S027,S039
S028,S029
S028,S039
S028,S040
S029,S030
S029,S041
S030,S031
S030,S042
S031,S032
S031,S043
S032,S033
S032,S043
S032,S044
S033,S034
S033,S044
S033,S045
S034,S035
S034,S045
S034,S046
S034,S047
S035,S036
S035,S047
S035,S048
S036,S048
S037,S038
S037,S049
S038,S039
S038,S049
S038,S050
S039,S040
S039,S051
S040,S041
S040,S052
S041,S042
S041,S053
S042,S043
S042,S053
S042,S054
S043,S044
S043,S055
S043,S056
S044,S045
S044,S056
S045,S046
S045,S057
S045,S058
S046,S047
S046,S058
S047,S048
S047,S058
S047,S059
S048,S060
S049,S050
S049,S061
S050,S051
S050,S062
S051,S052
S051,S062
S051,S063
S052,S053
S052,S063
S052,S064
S053,S054
S053,S064
S053,S065
S053,S066
S054,S055
S054,S066
S055,S056
S055,S066
S055,S067
S055,S068
S056,S057
S056,S068
S057,S058
S057,S069
S058,S059
S058,S070
S058,S071
S059,S060
S059,S071
S060,S071
S060,S072
S061,S062
S061,S073
S062,S063
S062,S073
S062,S074
S063,S064
S063,S075
S064,S065
S064,S075
S064,S076
S064,S077
S065,S066
S065,S077
S065,S078
S066,S067
S066,S078
S066,S079
S067,S068
S067,S079
S068,S069
S068,S080
S069,S070
S069,S080
S069,S081
S070,S071
S070,S082
S071,S072
S071,S082
S071,S083
S072,S083
S072,S084
S073,S074
S073,S085
S073,S086
S074,S075
S074,S086
S075,S076
S075,S087
S076,S077
S076,S088
S077,S078
S077,S089
S078,S079
S078,S089
S078,S090
S079,S080
S079,S091
S080,S081
S080,S092
S080,S093
S081,S082
S081,S093
S082,S083
S082,S094
S083,S084
S083,S095
S084,S095
S084,S096
S085,S086
S085,S097
S085,S098
S086,S087
S086,S098
S087,S088
S087,S098
S087,S099
S088,S089
S088,S100
S089,S090
S089,S101
S090,S091
S090,S102
S090,S103
S091,S092
S091,S103
S092,S093
S092,S103
S092,S104
S093,S094
S093,S104
S093,S105
S094,S095
S094,S106
S094,S107
S095,S096
S095,S107
S096,S108
S097,S098
S097,S109
S098,S099
S098,S110
S098,S111
S099,S100
S099,S111
S100,S101
S100,S111
S100,S112
S101,S102
S101,S112
S101,S113
S102,S103
S102,S113
S102,S114
S102,S115
S103,S104
S103,S115
S104,S105
S104,S115
S104,S116
S105,S106
S105,S117
S105,S118
S106,S107
S106,S118
S107,S108
S107,S119
S108,S119
S108,S120
S109,S110
S109,S121
S109,S122
S110,S111
S110,S122
S111,S112
S111,S122
S111,S123
S111,S124
S112,S113
S112,S124
S112,S125
S113,S114
S113,S125
S114,S115
S114,S126
S115,S116
S115,S126
S115,S127
S115,S128
S116,S117
S116,S128
S116,S129
S117,S118
S117,S129
S118,S119
S118,S130
S119,S120
S119,S130
S119,S131
S119,S132
S120,S132
S121,S122
S121,S133
S122,S123
S122,S133
S122,S134
S122,S135
S123,S124
S123,S135
S124,S125
S124,S135
S124,S136
S125,S126
S125,S137
S126,S127
S126,S138
S127,S128
S127,S138
S127,S139
S128,S129
S128,S140
S129,S130
S129,S140
S129,S141
S130,S131
S130,S141
S130,S142
S131,S132
S131,S142
S131,S143
S132,S143
S132,S144
S133,S134
S134,S135
S135,S136
S136,S137
S137,S138
S138,S139
S139,S140
S140,S141
S141,S142
S142,S143
S143,S144
