substation_id,load_ratio,equipment_age_years,initially_interrupted,interrupted_later
S001,0.506,24,0,0.0
S002,0.708,17,0,0.0
S003,0.555,13,0,0.0
S004,0.883,36,0,1.0
S005,0.643,35,0,0.0
S006,0.546,10,0,0.0
S007,0.826,24,0,1.0
S008,0.556,35,0,0.0
S009,0.669,2,0,1.0
S010,0.716,20,0,0.0
S011,0.848,2,0,1.0
S012,0.508,40,0,1.0
S013,0.478,18,0,0.0
S014,0.939,17,0,0.0
S015,0.893,24,0,0.0
S016,0.572,14,0,0.0
S017,0.449,37,0,0.0
S018,0.505,11,0,0.0
S019,0.717,8,0,0.0
S020,0.475,8,0,0.0
S021,0.432,15,0,0.0
S022,0.536,30,0,0.0
S023,0.79,15,0,1.0
S024,0.865,21,0,1.0
S025,0.675,36,0,1.0
S026,0.763,2,0,0.0
S027,0.56,23,0,0.0
S028,0.425,28,0,1.0
S029,0.723,10,0,0.0
S030,0.855,36,0,0.0
S031,0.62,26,0,0.0
S032,0.471,20,0,0.0
S033,0.708,29,0,1.0
S034,0.578,33,0,0.0
S035,0.742,23,0,1.0
S036,0.71,4,0,0.0
S037,0.491,2,0,0.0
S038,0.492,13,0,0.0
S039,0.793,19,0,1.0
S040,0.663,37,0,0.0
S041,0.634,11,0,0.0
S042,0.935,25,0,1.0
S043,0.715,14,0,1.0
S044,0.56,36,0,0.0
S045,0.605,7,0,0.0
S046,0.52,32,0,1.0
S047,0.444,16,0,0.0
S048,0.821,26,0,0.0
S049,0.55,14,0,0.0
S050,0.811,35,0,0.0
S051,0.732,4,0,0.0
S052,0.741,24,0,1.0
S053,0.595,30,0,1.0
S054,0.489,4,0,0.0
S055,0.518,10,0,0.0
S056,0.595,5,0,0.0
S057,0.932,30,0,0.0
S058,0.915,35,0,1.0
S059,0.523,23,0,0.0
S060,0.81,10,0,1.0
S061,0.525,37,0,0.0
S062,0.531,27,0,0.0
S063,0.838,39,0,1.0
S064,0.484,26,0,0.0
S065,0.556,14,0,0.0
S066,0.6,25,1,
S067,0.498,27,0,0.0
S068,0.699,5,0,0.0
S069,0.65,38,0,1.0
S070,0.814,13,0,0.0
S071,0.648,20,0,0.0
S072,0.934,7,0,0.0
S073,0.738,19,0,1.0
S074,0.652,4,0,0.0
S075,0.915,29,0,1.0
S076,0.737,26,0,0.0
S077,0.882,9,0,0.0
S078,0.577,22,0,0.0
S079,0.589,16,0,0.0
S080,0.557,23,0,0.0
S081,0.841,14,0,0.0
S082,0.491,33,0,0.0
S083,0.494,40,0,0.0
S084,0.514,16,0,1.0
S085,0.463,40,0,1.0
S086,0.47,6,0,0.0
S087,0.533,33,0,0.0
S088,0.624,31,0,0.0
S089,0.748,22,0,0.0
S090,0.779,6,0,0.0
S091,0.437,23,0,0.0
S092,0.79,39,0,0.0
S093,0.912,20,0,1.0
S094,0.501,11,0,0.0
S095,0.555,34,0,1.0
S096,0.796,19,0,0.0
S097,0.581,15,0,0.0
S098,0.682,16,0,0.0
S099,0.746,10,0,0.0
S100,0.742,25,0,0.0
S101,0.928,8,0,0.0
S102,0.697,12,0,0.0
S103,0.602,37,0,0.0
S104,0.576,30,0,0.0
S105,0.534,24,0,0.0
S106,0.566,18,0,0.0
S107,0.722,36,0,0.0
S108,0.469,31,0,0.0
S109,0.515,10,0,0.0
S110,0.736,10,0,1.0
S111,0.707,17,0,1.0
S112,0.632,21,0,0.0
S113,0.676,29,0,0.0
S114,0.739,30,0,1.0
S115,0.804,18,0,1.0
S116,0.83,7,0,0.0
S117,0.544,6,0,0.0
S118,0.58,6,0,1.0
S119,0.662,31,0,0.0
S120,0.766,29,0,1.0
S121,0.734,38,0,1.0
S122,0.722,2,0,0.0
S123,0.736,33,0,0.0
S124,0.774,18,0,1.0
S125,0.48,21,0,0.0
S126,0.467,36,0,0.0
S127,0.431,4,0,0.0
S128,0.844,7,0,0.0
S129,0.805,3,0,0.0
S130,0.734,32,0,0.0
S131,0.85,22,0,1.0
S132,0.831,3,0,0.0
S133,0.483,15,0,0.0
S134,0.842,25,0,1.0
S135,0.879,8,0,1.0
S136,0.478,4,0,0.0
S137,0.847,15,0,0.0
S138,0.452,22,0,0.0
S139,0.554,18,0,0.0
S140,0.771,13,0,0.0
S141,0.593,40,0,0.0
S142,0.844,29,0,1.0
S143,0.494,6,0,0.0
S144,0.55,30,0,0.0
