person_id,activity,interest,early_joined,joined_later,contact_ids
0,0.30471707975443135,-0.059282646025932216,0,1,1|2|3|4|5|6|7|10|13|18|21|25|41|43|49|53|54|62|67|68|74|94|95|103|120|137|155|165|170|180|187|200|213|229|384|457|470|482|619|668|680|684|687|822|830|855|871|903|909|932|951|994
1,-1.0399841062404955,-0.72928693637366149,0,1,0|5|8|12|31|32|43|47|51|69|70|94|123|129|174|213|255|279|305|391|413|455|536|572|732|789|842|861|931|952|971
2,0.75045119580645725,-0.41447306583585852,0,0,0|4|6|355
3,0.94056471639121386,0.63391037773374237,0,1,0|4|13|14|18|19|27|29|34|36|44|46|50|65|75|78|81|86|96|112|119|138|159|234|241|264|274|294|318|348|364|369|397|411|422|424|426|432|456|485|522|592|637|649|665|705|714|794|883|927|953
4,-1.9510351886538364,0.002993291199955732,0,1,0|2|3|5|9|10|11|12|16|20|21|25|29|30|34|37|38|52|55|56|58|62|67|69|72|74|78|84|85|93|111|113|122|125|128|130|133|135|192|194|197|216|221|222|224|253|258|270|289|300|303|317|341|342|350|358|371|393|414|430|454|456|492|511|534|540|542|548|553|608|625|627|642|644|693|757|758|764|765|766|768|773|781|809|844|861|919|933|935|944|964|982|984
5,-1.3021795068623181,0.34020997686833787,1,,0|1|4|6|7|8|9|11|15|16|17|18|20|23|24|31|33|38|44|56|71|72|79|80|83|85|86|91|104|105|144|145|151|159|186|190|191|210|246|250|259|264|267|268|281|296|310|331|343|364|373|377|410|437|442|452|467|504|524|527|529|538|609|660|664|684|715|716|745|751|752|759|804|817|818|831|883|900|943|944|978|981
6,0.12784040316728537,0.67007924220218984,0,1,0|2|5|7|8|11|12|13|24|26|28|39|40|43|45|46|51|57|64|66|76|77|83|91|93|99|107|114|118|119|134|139|143|169|178|188|191|192|199|200|249|263|281|290|305|314|315|317|324|334|344|346|362|367|383|387|402|407|418|424|434|446|460|461|489|491|524|553|575|599|643|654|665|672|734|790|795|797|810|832|888|889|951|954|978|985|989|990
7,-0.31624259234358221,-0.37484146289760961,0,1,0|5|6|9|10|14|15|19|20|21|25|30|33|41|44|49|56|58|64|74|82|86|87|110|111|123|126|132|150|161|162|179|195|201|225|227|231|232|261|267|291|318|324|339|340|345|350|356|365|393|401|407|419|426|431|441|445|446|452|489|510|513|582|583|586|603|614|627|695|746|757|801|871|882|884|947|995
8,-0.016801157504288795,0.75624816362980607,1,,1|5|6|14|22|35|39|58|61|71|80|83|88|133|156|195|204|233|251|272|304|308|320|343|368|382|410|470|485|495|512|544|635|679|756|768|798|826|883|894
9,-0.85304392757358005,0.37884260345839443,0,1,4|5|7|26|42|57|105|138|151|163|212|229|231|233|235|238|297|299|370|389|390|395|436|654|656|680|743|800|851|854|919|922|955
10,0.87939797486282856,-1.2348130869114786,0,1,0|4|7|17|19|23|24|40|48|53|60|63|66|95|98|109|112|114|129|163|169|172|192|237|246|255|284|302|320|345|351|356|403|452|501|542|575|636|688|690|701|798|847|853|915
11,0.77779193542894831,1.4423047911862443,1,,4|5|6|90|100|104|127|174|240|342|471|732|873|945
12,0.066030697561216045,-0.50074474375691613,0,1,1|4|6|15|22|29|46|47|50|51|55|68|97|98|99|101|128|136|143|148|150|154|174|203|206|218|259|262|266|267|277|292|326|344|425|451|464|493|494|516|545|568|590|655|664|677|693|700|711|724|726|761|834|835|874|875|958|965|985
13,1.1272412069680329,-1.6550953431851838,0,0,0|3|6|35|59|79|97|122|168|232|256|286|437|459|631|666|744
14,0.4675093422520456,-1.0450437095863023,0,1,3|7|8|16|17|27|30|32|48|59|87|103|115|149|157|219|223|247|268|331|497|604|860
15,-0.85929246288323824,-1.021045160678322,1,,5|7|12|89|113|114|134|177|183|526|534|655|830|968
16,0.36875078408249884,0.052173318657533468,0,1,4|5|14|22|28|48|53|61|66|102|106|116|121|126|135|163|232|339|352|502|561|604|616|646|675|758|838|972|991
17,-0.9588826008289989,-0.27385050554623719,0,1,5|10|14|409|449|749
18,0.87845030130727253,-0.33683196764059287,0,1,0|3|5|88|91|127|188|209|292|405|432|595|720|847|865|921|947
